date,open,high,low,close,adj_close,volume,ticker
2024-01-02,187.14999389648438,188.44000244140625,183.88999938964844,185.63999938964844,183.5622100830078,82488700,AAPL
2024-01-03,184.22000122070312,185.8800048828125,183.42999267578125,184.25,182.187744140625,58414500,AAPL
2024-01-04,182.14999389648438,183.08999633789062,180.8800048828125,181.91000366210938,179.87391662597656,71983600,AAPL
2024-01-05,181.99000549316406,182.75999450683594,180.1699981689453,181.17999267578125,179.152099609375,62379700,AAPL
2024-01-08,182.08999633789062,185.60000610351562,181.5,185.55999755859375,183.48304748535156,59144500,AAPL
2024-01-09,183.9199981689453,185.14999389648438,182.72999572753906,185.13999938964844,183.06776428222656,42841800,AAPL
2024-01-10,184.35000610351562,186.39999389648438,183.9199981689453,186.19000244140625,184.10601806640625,46792900,AAPL
2024-01-11,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789062,183.5127410888672,49128400,AAPL
2024-01-12,186.05999755859375,186.74000549316406,185.19000244140625,185.9199981689453,183.8390350341797,40477800,AAPL
2024-01-16,182.16000366210938,184.25999450683594,180.92999267578125,183.6300048828125,181.57467651367188,65603000,AAPL
2024-01-17,181.27000427246094,182.92999267578125,180.3000030517578,182.67999267578125,180.6352996826172,47317400,AAPL
2024-01-18,186.08999633789062,189.13999938964844,185.8300018310547,188.6300048828125,186.5187225341797,78005800,AAPL
2024-01-19,189.3300018310547,191.9499969482422,188.82000732421875,191.55999755859375,189.41592407226562,68903000,AAPL
2024-01-22,192.3000030517578,195.3300018310547,192.25999450683594,193.88999938964844,191.7198486328125,60133900,AAPL
2024-01-23,195.02000427246094,195.75,193.8300018310547,195.17999267578125,192.9954071044922,42355600,AAPL
2024-01-24,195.4199981689453,196.3800048828125,194.33999633789062,194.5,192.32302856445312,53631300,AAPL
2024-01-25,195.22000122070312,196.27000427246094,193.11000061035156,194.1699981689453,191.99668884277344,54822100,AAPL
2024-01-26,194.27000427246094,194.75999450683594,191.94000244140625,192.4199981689453,190.2663116455078,44594000,AAPL
2024-01-29,192.00999450683594,192.1999969482422,189.5800018310547,191.72999572753906,189.5840301513672,47145600,AAPL
2024-01-30,190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,185.935302734375,55859400,AAPL
2024-01-31,187.0399932861328,187.10000610351562,184.35000610351562,184.39999389648438,182.3360595703125,55467800,AAPL
2024-02-01,183.99000549316406,186.9499969482422,183.82000732421875,186.86000061035156,184.76852416992188,64885400,AAPL
2024-02-02,179.86000061035156,187.3300018310547,179.25,185.85000610351562,183.7698516845703,102551700,AAPL
2024-02-05,188.14999389648438,189.25,185.83999633789062,187.67999267578125,185.579345703125,69668800,AAPL
2024-02-06,186.86000061035156,189.30999755859375,186.77000427246094,189.3000030517578,187.1812286376953,43490800,AAPL
2024-02-07,190.63999938964844,191.0500030517578,188.61000061035156,189.41000366210938,187.2899932861328,53439000,AAPL
2024-02-08,189.38999938964844,189.5399932861328,187.35000610351562,188.32000732421875,186.21221923828125,40962000,AAPL
2024-02-09,188.64999389648438,189.99000549316406,188.0,188.85000610351562,186.9745635986328,45155200,AAPL
2024-02-12,188.4199981689453,188.6699981689453,186.7899932861328,187.14999389648438,185.29139709472656,41781900,AAPL
2024-02-13,185.77000427246094,186.2100067138672,183.50999450683594,185.0399932861328,183.20236206054688,56529500,AAPL
2024-02-14,185.32000732421875,185.52999877929688,182.44000244140625,184.14999389648438,182.32118225097656,54630500,AAPL
2024-02-15,183.5500030517578,184.49000549316406,181.35000610351562,183.86000061035156,182.0341033935547,65434500,AAPL
2024-02-16,183.4199981689453,184.85000610351562,181.6699981689453,182.30999755859375,180.49948120117188,49752500,AAPL
2024-02-20,181.7899932861328,182.42999267578125,180.0,181.55999755859375,179.75694274902344,53665600,AAPL
2024-02-21,181.94000244140625,182.88999938964844,180.66000366210938,182.32000732421875,180.5093994140625,41371400,AAPL
2024-02-22,183.47999572753906,184.9600067138672,182.4600067138672,184.3699951171875,182.53903198242188,52292200,AAPL
2024-02-23,185.00999450683594,185.0399932861328,182.22999572753906,182.52000427246094,180.70742797851562,45119700,AAPL
2024-02-26,182.24000549316406,182.75999450683594,180.64999389648438,181.16000366210938,179.36090087890625,40867400,AAPL
2024-02-27,181.10000610351562,183.9199981689453,179.55999755859375,182.6300048828125,180.81631469726562,54318900,AAPL
2024-02-28,182.50999450683594,183.1199951171875,180.1300048828125,181.4199981689453,179.61831665039062,48953900,AAPL
2024-02-29,181.27000427246094,182.57000732421875,179.52999877929688,180.75,178.95498657226562,136682600,AAPL
2024-03-01,179.5500030517578,180.52999877929688,177.3800048828125,179.66000366210938,177.87579345703125,73563100,AAPL
2024-03-04,176.14999389648438,176.89999389648438,173.7899932861328,175.10000610351562,173.36109924316406,81510100,AAPL
2024-03-05,170.75999450683594,172.0399932861328,169.6199951171875,170.1199951171875,168.43055725097656,95132400,AAPL
2024-03-06,171.05999755859375,171.24000549316406,168.67999267578125,169.1199951171875,167.4404754638672,68587700,AAPL
2024-03-07,169.14999389648438,170.72999572753906,168.49000549316406,169.0,167.32167053222656,71765100,AAPL
2024-03-08,169.0,173.6999969482422,168.94000244140625,170.72999572753906,169.0345001220703,76267000,AAPL
2024-03-11,172.94000244140625,174.3800048828125,172.0500030517578,172.75,171.034423828125,60139500,AAPL
2024-03-12,173.14999389648438,174.02999877929688,171.00999450683594,173.22999572753906,171.5096435546875,59825400,AAPL
2024-03-13,172.77000427246094,173.19000244140625,170.75999450683594,171.1300048828125,169.43052673339844,52488700,AAPL
2024-03-14,172.91000366210938,174.30999755859375,172.0500030517578,173.0,171.28195190429688,72913500,AAPL
2024-03-15,171.1699981689453,172.6199951171875,170.2899932861328,172.6199951171875,170.90573120117188,121752700,AAPL
2024-03-18,175.57000732421875,177.7100067138672,173.52000427246094,173.72000122070312,171.99478149414062,75604200,AAPL
2024-03-19,174.33999633789062,176.61000061035156,173.02999877929688,176.0800018310547,174.3313446044922,55215200,AAPL
2024-03-20,175.72000122070312,178.6699981689453,175.08999633789062,178.6699981689453,176.8956298828125,53423100,AAPL
2024-03-21,177.0500030517578,177.49000549316406,170.83999633789062,171.3699951171875,169.6681365966797,106181300,AAPL
2024-03-22,171.75999450683594,173.0500030517578,170.05999755859375,172.27999877929688,170.56907653808594,71160100,AAPL
2024-03-25,170.57000732421875,171.94000244140625,169.4499969482422,170.85000610351562,169.15330505371094,54288300,AAPL
2024-03-26,170.0,171.4199981689453,169.5800018310547,169.7100067138672,168.024658203125,57388400,AAPL
2024-03-27,170.41000366210938,173.60000610351562,170.11000061035156,173.30999755859375,171.58885192871094,60273300,AAPL
2024-03-28,171.75,172.22999572753906,170.50999450683594,171.47999572753906,169.77703857421875,65672700,AAPL
2024-04-01,171.19000244140625,171.25,169.47999572753906,170.02999877929688,168.34146118164062,46240500,AAPL
2024-04-02,169.0800018310547,169.33999633789062,168.22999572753906,168.83999633789062,167.16326904296875,49329500,AAPL
2024-04-03,168.7899932861328,170.67999267578125,168.5800018310547,169.64999389648438,167.9652099609375,47691700,AAPL
2024-04-04,170.2899932861328,171.9199981689453,168.82000732421875,168.82000732421875,167.14344787597656,53704400,AAPL
2024-04-05,169.58999633789062,170.38999938964844,168.9499969482422,169.5800018310547,167.8959197998047,42104800,AAPL
2024-04-08,169.02999877929688,169.1999969482422,168.24000549316406,168.4499969482422,166.77713012695312,37425500,AAPL
2024-04-09,168.6999969482422,170.0800018310547,168.35000610351562,169.6699981689453,167.98501586914062,42373800,AAPL
2024-04-10,168.8000030517578,169.08999633789062,167.11000061035156,167.77999877929688,166.11378479003906,49709300,AAPL
2024-04-11,168.33999633789062,175.4600067138672,168.16000366210938,175.0399932861328,173.30169677734375,91070300,AAPL
